id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho việc xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the context, with no additional or incorrect information.",5,The answer directly and fully addresses the query by providing the specific SLA times for handling P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model's answer includes all the important points in the expected answer, specifically the initial response time of 15 minutes and the resolution time of 4 hours.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information in the context regarding the timeframe for requesting a refund.,5,The answer directly and fully addresses the query by specifying that customers can request a refund within 7 working days from the order confirmation.,5,Retrieved: 1/1 expected sources,5,The model's answer includes all the important points in the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval requirements for Level 3 access as stated in the context.,5,Answer directly and fully addresses the query by specifying who needs to approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,Model answer includes all key points present in the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not eligible for refunds unless there is a manufacturer defect and other conditions are met. However, it does not explicitly mention the requirement to submit the refund request within 7 days, which is a key detail in the context.",5,The answer directly and fully addresses the query about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,4,"The model's answer correctly states that digital products are generally non-refundable and mentions exceptions for manufacturer errors, but it misses the specific mention of the types of digital products (license key, subscription) that are non-refundable according to the expected answer.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding the number of failed login attempts before an account is locked.,5,Directly and fully answers the question.,5,Retrieved: 1/1 expected sources,5,The model's answer includes all the important points in the expected answer.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, trong trường hợp khẩn cấp, On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents and the procedure for granting temporary permissions, all of which are explicitly stated in the provided context.",5,"The answer directly and fully addresses the query about how escalation occurs in a P1 incident, providing specific details about the process and conditions.",5,Retrieved: 1/1 expected sources,4,"The model's answer includes the automatic escalation to the Senior Engineer after 10 minutes without response, which is a key point in the expected answer. However, it adds additional details about emergency procedures and logging that are not present in the expected answer, which could be considered a small deviation from the core content.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,2,"The answer introduces the term 'Approval Matrix' which is not mentioned in the provided context, indicating that it contains information not present in the context.",5,The answer directly and fully addresses the query by explaining what the Approval Matrix is in the context of granting system access.,5,Retrieved: 1/1 expected sources,2,The model's answer provides a general description of the Approval Matrix but misses the specific name change to 'Access Control SOP' and does not mention the document's current title.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được Team Lead phê duyệt qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in the context regarding remote work conditions for employees after the probation period and the requirement for Team Lead approval through the HR Portal.,5,The answer directly and fully addresses the query by stating the maximum number of remote days allowed per week and providing additional relevant context.,5,Retrieved: 1/1 expected sources,5,"The model's answer includes all the important points from the expected answer, specifically mentioning the maximum of 2 remote days per week after the probation period and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền truy cập vào tài nguyên yêu cầu. Cách xử lý là kiểm tra và đảm bảo rằng người dùng có quyền truy cập phù hợp hoặc yêu cầu cấp quyền từ quản lý hoặc bộ phận IT. [1]","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",2,"The answer discusses an error related to access rights (ERR-403-AUTH) and suggests checking permissions or requesting access, which is not mentioned in the provided context. The context only details access levels and approval processes without reference to specific error codes or troubleshooting steps.",5,The answer directly and fully addresses the query by explaining what ERR-403-AUTH is and providing a method for handling it.,,No expected sources,2,"The model's answer provides some information about ERR-403-AUTH being related to access rights but does not mention that there is no information available in existing documentation or that it may relate to authentication. It also does not suggest contacting IT Helpdesk, which is a key point in the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer accurately states that there is no specific information about an emergency refund process for VIP customers in the provided context, which aligns with the context given.",2,"The answer indicates a lack of specific information regarding the process for urgent refunds for VIP customers, which partially addresses the query but does not provide relevant details.",5,Retrieved: 1/1 expected sources,2,"The model's answer does not address the specific policy regarding VIP customers and fails to mention the standard processing time of 3-5 working days, which are key points in the expected answer.",baseline_dense
